SubjectID Run-1_Found Run-2_Found
0001 1 1
0002 1 1
0003 1 1
0004 1 1
0005 1 1
0006 1 1
0007 1 1
0008 1 1
0009 1 1
0010 1 1
0011 1 1
0012 1 1
0013 1 1
0015 1 1
0016 1 1
0017 1 1
0018 1 1
0019 1 1
0021 1 1
0022 1 1
0023 1 1
0024 1 1
0025 1 1
0026 1 1
0027 1 1
0028 1 1
0029 1 1
0030 1 1
0031 1 1
0032 1 1
0033 1 1
0034 1 1
0035 1 1
0036 1 1
0038 1 1
0039 1 1
0040 1 1
0042 1 1
0043 1 1
0044 1 1
0045 1 1
0046 1 1
0047 1 1
0048 1 1
0049 1 1
0050 1 1
0051 1 1
0052 1 1
0053 1 1
0055 1 1
0056 1 1
0057 1 1
0058 1 1
0059 1 1
0060 1 1
0061 1 1
0063 1 1
0064 1 1
0065 1 1
0066 1 1
0068 1 1
0069 1 1
0070 1 1
0071 1 1
0072 1 1
0073 1 1
0074 1 1
0075 1 1
0076 1 1
0078 1 1
0079 1 1
0080 1 1
0081 1 1
0082 1 1
0084 1 1
0085 1 1
0086 1 1
0087 1 1
0088 1 1
0089 1 1
0091 1 1
0092 1 1
0093 1 1
0094 1 1
0095 1 1
0096 1 1
0097 1 1
0098 1 1
0099 1 1
0100 1 1
0101 1 1
0102 1 1
0103 1 1
0105 1 1
0106 1 1
0107 1 1
0110 1 1
0111 1 1
0112 1 1
0113 1 1
0114 1 1
0115 1 1
0116 1 1
0117 1 1
0118 1 1
0120 1 1
0121 1 1
0122 1 1
0123 1 1
0124 1 1
0125 1 1
0126 1 1
0127 1 1
0128 1 1
0129 1 1
0130 1 1
0131 1 1
0132 1 1
0133 1 1
0135 1 1
0136 1 1
0137 1 1
0138 1 1
0139 1 1
0140 1 1
0141 1 1
0142 1 1
0143 1 1
0144 1 1
0145 1 1
0146 1 1
0147 1 1
0148 1 1
0149 1 1
0150 1 1
0151 1 1
0152 1 1
0154 1 1
0155 1 1
0156 1 1
0157 1 1
0158 1 1
0159 1 1
0160 1 1
0161 1 1
0162 1 1
0163 1 1
0164 1 1
0165 1 1
0166 1 1
0168 1 1
0169 1 1
0170 1 1
0171 1 1
0172 1 1
0173 1 1
0174 1 1
0175 1 1
0176 1 1
0177 1 1
0178 1 1
0179 1 1
0180 1 1
0181 1 1
0182 1 1
0183 1 1
0184 1 1
0186 1 1
0187 1 1
0188 0 1
0189 1 1
0192 1 1
0193 1 1
0194 1 1
0195 1 1
0196 1 1
0197 1 1
0198 1 1
0199 1 1
0200 1 1
0201 1 1
0202 1 1
0204 1 1
0205 1 1
0206 1 1
0207 1 1
0208 1 1
0210 1 1
0211 1 1
0212 1 1
0213 1 1
0214 1 1
0215 1 1
0216 1 1
0217 1 1
0218 1 1
0219 1 1
0220 1 1
0221 1 1
0222 1 1
0223 1 1
0224 1 1
0225 1 1
0226 1 1
0227 1 1
0228 1 1
0230 1 1
0231 1 1
0232 1 1
0233 1 1
0234 1 1
0235 1 1
0236 1 1
0238 1 1
0239 1 1
0240 1 1
0241 1 1
0243 1 1
0244 1 1
0245 1 1
0246 1 1
0249 1 1
0250 1 1
0251 1 1
0252 1 1
0253 1 1
0254 1 1
0255 1 1
0257 1 1
0258 1 1
0259 1 1
0260 1 1
0261 1 1
0262 1 1
0263 1 1
0264 1 1
0265 1 1
0266 1 1
0267 1 1
0268 1 1
0269 1 1
0270 1 1
0271 1 1
0272 1 1
0273 1 1
0274 1 1
0275 1 1
0276 1 1
0277 1 1
0278 1 1
0279 1 1
0280 1 1
0281 1 1
0282 1 1
0283 1 1
0285 1 1
0286 1 1
0287 1 1
0288 1 1
0289 1 1
0290 1 1
0291 1 1
0292 1 1
0293 1 1
0294 1 1
0295 1 1
0296 1 1
0297 1 1
0298 1 1
0299 1 1
0300 1 1
0301 1 1
0302 1 1
0303 1 1
0304 1 1
0305 1 1
0306 1 1
0307 1 1
0308 1 1
0309 1 1
0310 1 1
0311 1 1
0312 1 1
0313 1 1
0314 1 1
0315 1 1
0316 1 1
0317 1 1
0318 1 1
0319 1 1
0320 1 1
0321 1 1
0322 1 1
0323 1 1
0324 1 1
0325 1 1
0326 1 1
0327 1 1
0328 1 1
0329 1 1
0330 1 1
0331 1 1
0332 1 1
0333 1 1
0334 1 1
0335 1 1
0336 1 1
0337 1 1
0338 1 1
0339 1 1
0340 1 1
0341 1 1
0342 1 1
0343 1 1
0344 1 1
0345 1 1
0346 1 1
0347 1 1
0348 1 1
0350 1 1
0351 1 1
0354 1 1
0355 1 1
0356 1 1
0357 1 1
0358 1 1
0359 1 1
0360 1 1
0361 1 1
0363 1 1
0364 1 1
0367 1 1
0368 1 1
0372 1 1
0375 1 1
0377 1 1
Total run-1 bold files found: 335
Total run-2 bold files found: 336
